id,question,category,filter_act,retrieved_chunks,answer_length,citation_present,simple_language,notes,answer
1,What is the corporate tax rate on rental income under Pakistani law?,EdgeCase,Constitution of Pakistan,5,88,False,True,Missing citation; Safe refusal or insufficient information,I do not have sufficient information in the provided legal text to answer this question.
2,How do you register a trademark in Pakistan?,EdgeCase,Constitution of Pakistan,5,88,False,True,Missing citation; Safe refusal or insufficient information,I do not have sufficient information in the provided legal text to answer this question.
3,What are the criminal penalties for theft under the PPC?,EdgeCase,Constitution of Pakistan,5,88,False,True,Missing citation; Safe refusal or insufficient information,I do not have sufficient information in the provided legal text to answer this question.
4,Does the Pakistani Constitution regulate the price of gasoline?,EdgeCase,Constitution of Pakistan,5,88,False,True,Missing citation; Safe refusal or insufficient information,I do not have sufficient information in the provided legal text to answer this question.
5,Can a non-resident obtain a Pakistani passport under the Constitution?,EdgeCase,Constitution of Pakistan,5,88,False,True,Missing citation; Safe refusal or insufficient information,I do not have sufficient information in the provided legal text to answer this question.
6,What are the advertising restrictions under the Companies Act?,EdgeCase,Constitution of Pakistan,5,88,False,True,Missing citation; Safe refusal or insufficient information,I do not have sufficient information in the provided legal text to answer this question.
7,Does the Constitution define the legal age for marriage?,EdgeCase,Constitution of Pakistan,5,88,False,True,Missing citation; Safe refusal or insufficient information,I do not have sufficient information in the provided legal text to answer this question.
8,Which law governs the formation of a partnership firm in Pakistan?,EdgeCase,Constitution of Pakistan,5,88,False,True,Missing citation; Safe refusal or insufficient information,I do not have sufficient information in the provided legal text to answer this question.
9,Is voter registration handled by the Constitution or by electoral law?,EdgeCase,Constitution of Pakistan,5,88,False,True,Missing citation; Safe refusal or insufficient information,I do not have sufficient information in the provided legal text to answer this question.
10,Can the Constitution override a federal tax statute?,EdgeCase,Constitution of Pakistan,5,457,True,True,Good,"Under Article 8 of the Constitution of Pakistan, any law, including a federal tax statute, that is inconsistent with the rights conferred by the Constitution shall, to the extent of such inconsistency, be void. This means that if a federal tax statute contradicts a fundamental right protected by the Constitution, the Constitution will override the tax statute. In simple terms, the Constitution has higher authority than any other law, including tax laws."
